catalog oridx ra dec mass tau siglb sigD snr baseline cadence
RV15 23 123.33051 46.14712 7.08 63.06429583429659 inf 0.12145158898841717 2.353356642744791 1124.9551157999958 4.0176968421428425
RV15 24 123.8203 46.07523 6.75 18.14021477011377 inf 0.048762708171232544 1.2035606089949005 1126.924826399998 2.608622283333329
RV15 37 131.72539 25.37009 7.73 67.64003231200071 26.415297160377126 0.11779510427321169 2.7220941971592274 1121.9826042000059 7.238597446451651
RV15 50 141.51359 12.73437 7.23 26.529514135149938 10.767119209839796 0.05771657760079157 2.9425563495786555 1125.9568172 8.796537634375
RV15 54 143.5358 17.94556 5.81 10.471958842047554 11.897552507919293 0.06442069999697816 1.2574323840602357 1125.9189120999945 7.263992981290287
RV15 56 145.51997 23.68526 7.1 26.57585782479008 29.503813465582834 0.06740473181935352 1.6995081540360022 1125.9518518999976 6.662436993491109
RV15 61 147.21901 28.89401 7.0 23.747341825777973 inf 0.15156140328531995 3.0048726481505894 1125.9518518999976 3.1806549488700497
RV15 62 148.08372 32.47412 6.41 17.791360751161307 11.032735676906807 0.05634057040681366 1.078050552381889 1125.937523200002 5.601679219900507
RV15 73 153.0108 30.21751 7.29 21.936714374683124 36.96594778847604 0.06367465297665337 1.318481596604078 1125.9587963000013 2.7732975278325154
RV15 92 165.0668 46.27092 6.44 31.71029042215069 30.598697361793832 0.0584019563766479 1.1456699225961695 1125.9385879000038 3.909508985763902
RV15 102 169.74039 58.05665 7.1 11.639951190322895 27.227018292911094 0.07380229454304263 1.671983918376529 1126.0392013999954 3.1809016988700436
RV15 107 171.65726 51.57312 5.99 6.346208675811274 26.615827582423343 0.061741394377413994 1.1940217928368975 1126.0392013999954 3.127886670555543
RV15 126 180.74089 4.84584 6.62 60.747897678587265 18.802273183110778 0.14655847018032508 1.9379101222787447 1123.0340855999966 9.358617379999972
RV15 137 185.56405 28.35659 6.84 18.34606210924999 17.527778010771634 0.050973833266795096 1.002851134639655 1127.008368099996 4.143413118014691
RV15 139 186.45359 33.54687 5.0 9.414203714756086 37.52849387712854 0.10018333741760449 2.377304284047471 1127.056666599994 3.940757575524455
RV15 152 195.08309 61.65512 7.6 15.421808179864954 inf 0.09360680605078589 1.8279513089594768 1126.0364583000046 3.127879050833346
RV15 160 200.73097 8.16153 7.04 44.947795627334024 inf 0.07219497716032772 1.923689369396256 1123.0582291000028 3.9824759897163218
RV15 167 206.11005 44.27223 6.82 61.876667473332745 inf 0.10537765773515888 2.1874925691167566 1127.0383796999959 2.3382538997925226
RV15 176 214.12843 1.6189 7.22 91.1433725596235 20.021297423566104 0.08852770577594053 1.1745229532969994 1127.0199304999987 7.000123791925458
RV15 183 218.71859 48.66187 7.72 9.489152007828855 14.767255389735318 0.12216380350077176 2.6091515013286464 1066.1912730999975 3.7541946235915407
RV15 191 225.41164 10.4204 7.07 12.309719117612005 inf 0.10447355211137226 2.282526005175601 1126.960914400006 3.623668535048251
RV15 192 225.79864 11.17426 6.85 8.639632397639957 22.1644412968808 0.05920111773006202 1.051019624841058 1126.960914400006 3.7071082710526513
RV15 202 232.41909 30.48592 6.97 96.39104570815071 inf 0.05524471544384152 1.4841682225729593 1125.9708333999952 2.05094869471766
RV15 211 238.57264 32.64387 7.73 94.15491320686293 inf 0.12008000130905849 2.7889526639466835 1125.9708333999952 1.9514225882148963
RV15 214 239.8588 52.20987 7.31 20.414382540039625 inf 0.061935763517461793 1.2202246327851654 1124.9722917000036 1.577801250631141
RV15 220 242.98464 52.18809 7.26 62.017887442652814 inf 0.04899480205257031 1.0178721494177216 1124.9760300999988 1.3652621724514549
RV15 223 244.68689 25.65212 7.2 64.19002896284013 inf 0.06447367624527009 1.3871707793139942 1124.9516781999992 1.4515505525161279
RV15 239 324.42268 0.88806 6.82 11.334390390083094 8.21233477752394 0.05912609468687452 1.0879193167706782 1085.0024537000063 4.033466370631993
Chilingarian+18 244 186.45361 33.546871 5.021181052176962 9.321310722972411 37.52849387712854 0.09972522886863384 2.3664070711530782 1127.056666599994 3.940757575524455
